price,date,media_movel_7d,media_movel_30d,bitcoin_return,Price_M
114944.79334030188,2025-09-12 12:01:16.911,115160.56733157684,114753.09833222424,-0.0002268686426761,0.11
115175.7456241166,2025-09-12 13:02:51.250,115091.90056676391,114778.64450290964,0.0020092452829156,0.12
115182.63512744216,2025-09-12 14:02:39.203,115069.469374039,114815.49665828864,5.9817310391396816e-05,0.12
115285.82631433172,2025-09-12 15:01:11.665,115089.74161855332,114856.5060616163,0.0008958918744599,0.12
115142.91591236314,2025-09-12 16:01:27.205,115097.2271386402,114897.3953574314,-0.0012396181433347,0.12
115501.53307003951,2025-09-12 17:02:23.182,115172.04657366064,114944.9504392784,0.0031145394819542,0.12
115870.54337234636,2025-09-12 18:02:48.958,115300.5703944202,115006.74244052616,0.0031948519859306,0.12
116488.13043144876,2025-09-12 19:02:23.134,115521.0471217269,115088.17201952355,0.0053299746521235,0.12
116704.71486571954,2025-09-12 20:03:27.777,115739.47129909872,115172.27041406502,0.0018592832889374,0.12
116206.13807664244,2025-09-12 21:01:43.796,115885.68600612736,115229.16518853795,-0.0042721220787931,0.12
115951.31496911978,2025-09-12 22:00:21.908,115980.7558139542,115289.6491425339,-0.0021928541102932,0.12
116094.98634284324,2025-09-12 23:02:39.610,116116.76587545135,115342.83124499768,0.0012390663595467,0.12
116160.14344594492,2025-09-13 00:02:30.890,116210.8530720093,115396.61505755386,0.0005612395948715,0.12
116299.90574103984,2025-09-13 01:02:40.260,116272.1905532512,115462.95104467656,0.0012031863163115,0.12
115817.78761225037,2025-09-13 02:02:30.447,116176.42729336572,115509.0143286848,-0.0041454730828672,0.12
115929.71072468456,2025-09-13 03:01:48.947,116065.71241607502,115559.9263978521,0.0009663723918549,0.12
115987.13156450838,2025-09-13 04:02:59.076,116034.42577148446,115608.43152508009,0.0004953073674116,0.12
115761.02619141128,2025-09-13 05:02:06.190,116007.24166038322,115625.4142299358,-0.0019494005071705,0.12
115744.35387449336,2025-09-13 06:02:31.028,115957.1513077618,115633.4538046879,-0.0001440235756924,0.12
115790.5320264378,2025-09-13 07:03:11.576,115904.34967640364,115623.70397753928,0.0003989667780643,0.12
115828.38046332698,2025-09-13 08:01:56.989,115836.98892244468,115633.26874452629,0.0003268698763774,0.12
116027.12405597334,2025-09-13 09:02:35.122,115866.8941286908,115656.78277987037,0.0017158453899759,0.12
116073.3506135664,2025-09-13 10:02:14.685,115887.4141128168,115685.9595704638,0.0003984116470108,0.12
116017.51962998648,2025-09-13 11:02:43.344,115891.75526502795,115705.5140457025,-0.000480997432096,0.12
116020.667107693,2025-09-13 12:02:12.834,115928.84682449677,115717.65585003204,2.71293311264742e-05,0.12
116060.83417133584,2025-09-13 13:01:37.877,115974.05829547429,115741.695206526,0.0003462061083097,0.12
115768.32118748051,2025-09-13 14:02:14.948,115970.88531848036,115762.50855935096,-0.0025203419046901,0.12
115842.8482057885,2025-09-13 15:01:42.113,115972.952138832,115787.58625715208,0.000643760033345,0.12
115784.10669515507,2025-09-13 16:02:52.275,115938.23537300085,115814.46324616073,-0.0005070793022031,0.12
115342.8141065824,2025-09-13 17:02:46.879,115833.87301486023,115826.8611621458,-0.0038113399253885,0.12
